Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
2014-09-19,21.4,1.7,2,55,2,2,1
2014-09-20,21.6,2,3,52.5,2,2,1
2014-09-21,20.2,1.4,2,61.6,2,2,1
2014-09-22,21.4,2,2,57.5,2,1,1
2014-09-23,23,2.5,3,52.1,2,1,1
2014-09-24,20.3,2.6,2,77.9,2,2,1
2014-09-25,22.2,1.7,3,66.9,2,1,1
2014-09-26,21,2.6,3,78.1,3,2,1
2014-09-27,21.4,2.6,12,79,2,2,1
2014-09-28,21.7,1.1,2,85.5,2,2,1
2014-09-29,19.4,1.3,1,99,2,2,1
2014-09-30,18.9,3.1,3,72.5,1,1,1
2014-10-01,19.2,2.6,3,68.6,2,1,1
2014-10-02,18.1,2.2,12,89,2,1,1
2014-10-03,16.1,2.9,12,74.3,2,1,1
2014-10-04,16.9,3.4,3,62,1,1,1
2014-10-05,17.1,3.1,3,53.1,1,2,1
2014-10-06,16.6,1.7,3,57,2,2,1
2014-10-07,16.1,2.4,2,64.8,3,2,1
2014-10-08,16.7,1.5,2,61.5,3,2,1
2014-10-09,18.6,2,14,60.4,3,2,1
2014-10-10,19,3.6,3,63.3,3,2,1
2014-10-11,19.4,3.1,3,57.4,3,2,1
2014-10-12,21.2,1.9,3,48.5,1,2,1
2014-10-13,17.4,4.7,3,51.9,1,2,1
2014-10-14,13.8,2.2,2,51.8,2,2,1
2014-10-15,13.8,2.4,2,60.4,2,2,1
2014-10-16,13.2,3.1,12,53.8,2,2,1
2014-10-17,13.6,1.9,1,53.8,4,2,1
2014-10-18,15.5,1.7,2,68.9,4,2,1
2014-10-19,17,1.7,2,61,3,2,2
2014-10-20,14.4,2.6,3,97.8,3,1,1
2014-10-21,13.8,3.4,3,92.8,2,2,1
2014-10-22,13.6,3,2,69,2,2,1
2014-10-23,13.8,2.1,3,67.8,4,2,1
2014-10-24,15.1,1.8,2,78,5,3,1
2014-10-25,16.5,1.9,2,81.1,5,2,1
2014-10-26,16,2.8,10,76.9,3,2,1
2014-10-27,10.7,3,12,35.3,2,2,1
2014-10-28,10.2,1.4,12,43.4,2,2,2
2014-10-29,12.1,1.7,2,46.4,3,2,2
2014-10-30,14.2,1.5,2,45.8,3,1,2
2014-10-31,15,2.4,3,62.1,3,1,1
